cond_numeric	pair	participant_a	participant_b	rank_r	z_transformed_rank_r	adjusted_mutual_info	adjusted_rand_index
-1	CEL_baseline_113,CEL_baseline_114	CEL_baseline_113	CEL_baseline_114	-0.13508550855085505	-0.13591630838925553	0.14941650371995763	0.06710310965630115
-1	CEL_baseline_113,CEL_baseline_115	CEL_baseline_113	CEL_baseline_115	0.16324032403240324	0.1647139344346697	-0.016293503100637503	-0.011158798283261802
-1	CEL_baseline_113,CEL_baseline_116	CEL_baseline_113	CEL_baseline_116	0.0967176717671767	0.09702095140967328	0.09606902625642283	0.08389585342333655
-1	CEL_baseline_113,CEL_baseline_118	CEL_baseline_113	CEL_baseline_118	-0.0007800780078007799	-0.0007800781660323023	-0.10840048783540447	-0.07773851590106007
-1	CEL_baseline_113,CEL_baseline_120	CEL_baseline_113	CEL_baseline_120	0.15646611601065324	0.15776205531072526	0.2407013937983208	0.13427561837455831
-1	CEL_baseline_113,CEL_baseline_123	CEL_baseline_113	CEL_baseline_123	0.19531953195319532	0.19786177743143252	0.1401271892344671	0.10094637223974763
-1	CEL_baseline_113,CEL_baseline_124	CEL_baseline_113	CEL_baseline_124	-0.08817281728172817	-0.08840238736536851	0.33599537271751473	0.2199794731440301
-1	CEL_baseline_113,CEL_baseline_125	CEL_baseline_113	CEL_baseline_125	-0.34684668466846685	-0.3618547311280321	0.09145477334653805	0.04386360222322368
-1	CEL_baseline_113,CEL_baseline_126	CEL_baseline_113	CEL_baseline_126	0.1748094809480948	0.1766234888497411	0.13767469813809677	0.08669527896995709
-1	CEL_baseline_113,CEL_baseline_128	CEL_baseline_113	CEL_baseline_128	0.2452332590267834	0.25033469941885167	0.14385004056329467	0.07876306432496498
-1	CEL_baseline_113,CEL_baseline_129	CEL_baseline_113	CEL_baseline_129	0.13105949912900008	0.13181771392753314	0.17302603154187587	0.11214953271028037
-1	CEL_baseline_113,CEL_baseline_130	CEL_baseline_113	CEL_baseline_130	0.06451845184518451	0.06460819826200753	0.00042589112435435523	0.0026246719160104987
-1	CEL_baseline_113,CEL_baseline_131	CEL_baseline_113	CEL_baseline_131	0.040996099609960986	0.04101908990875635	-0.008648067620603057	-0.005901753167852804
-1	CEL_baseline_113,CEL_baseline_133	CEL_baseline_113	CEL_baseline_133	-0.06448244824482448	-0.06457204424981534	0.034937989693567574	0.0068925904652498565
-1	CEL_baseline_113,CEL_baseline_134	CEL_baseline_113	CEL_baseline_134	-0.18780678067806778	-0.1900627887415488	-0.013049066996704519	-0.01940981537004892
-1	CEL_baseline_113,CEL_baseline_135	CEL_baseline_113	CEL_baseline_135	0.07143114311431142	0.07155300669468592	-0.14517676688275521	-0.09884332281808622
-1	CEL_baseline_113,CEL_baseline_137	CEL_baseline_113	CEL_baseline_137	0.22048604860486046	0.22416693633399742	0.1179804347579939	0.11294666906087268
-1	CEL_baseline_113,CEL_baseline_162	CEL_baseline_113	CEL_baseline_162	-0.04981698169816981	-0.04985825396529143	0.004046343151373169	-0.018360132284182918
-1	CEL_baseline_113,CEL_baseline_165	CEL_baseline_113	CEL_baseline_165	-0.1364296429642964	-0.1372856807198743	0.078113230423693	0.044711797450170586
-1	CEL_baseline_113,CEL_baseline_166	CEL_baseline_113	CEL_baseline_166	0.3530153015301529	0.3688841465949257	0.3160869415950383	0.21716738197424892
-1	CEL_baseline_113,CEL_baseline_167	CEL_baseline_113	CEL_baseline_167	-0.1715816729130822	-0.17329585964711758	0.01547254972964268	0.0035706315554563713
-1	CEL_baseline_113,CEL_baseline_168	CEL_baseline_113	CEL_baseline_168	0.060438043804380434	0.06051179400558273	0.08631794094400162	0.07766990291262135
-1	CEL_baseline_113,CEL_baseline_169	CEL_baseline_113	CEL_baseline_169	0.17669366936693667	0.17856773292613307	0.17434413159919923	0.11602527283170591
-1	CEL_baseline_113,CEL_baseline_170	CEL_baseline_113	CEL_baseline_170	-0.12892889288928894	-0.12965048389440964	-0.07322891767320801	-0.04765655769988184
-1	CEL_baseline_113,CEL_baseline_171	CEL_baseline_113	CEL_baseline_171	-0.1431023102310231	-0.1440913202071663	0.15924617631792054	0.1061601278182141
-1	CEL_baseline_113,CEL_baseline_172	CEL_baseline_113	CEL_baseline_172	0.06699069906990698	0.06709118236281536	0.06271766674919294	0.032824293487800596
-1	CEL_baseline_113,CEL_baseline_173	CEL_baseline_113	CEL_baseline_173	-0.3033663366336633	-0.31322300210289084	-0.030994062062304793	-0.008645533141210375
-1	CEL_baseline_113,CEL_baseline_176	CEL_baseline_113	CEL_baseline_176	0.022358235823582356	0.022361962499524983	0.06753159121877511	0.03124321978737253
