"cond_numeric"	"pair"	"rank_r"	"z_transformed_rank_r"	"adjusted_mutual_info"	"adjusted_rand_index"	"participant_a"	"participant_b"
-1	"100-14"	-0.0930860805860806	-0.0933563513246436	0.00992375443301896	0.0386266094420601	100	14
-1	"100-117"	-0.00801282051282051	-0.00801299200792221	0.000245661715785793	-0.00432900432900433	100	117
-1	"100-123"	0.135531135531136	0.136370246226791	0.10529352889992	0.0729613733905579	100	123
-1	"100-51"	-0.0826923076923077	-0.0828815686256746	0.139911256252476	0.0814558058925477	100	51
-1	"100-103"	0.144184981684982	0.145196801727878	0.0946447140023898	0.0833333333333333	100	103
-1	"100-99"	-0.00654761904761905	-0.00654771261837261	0.139531189010647	0.197994987468672	100	99
-1	"100-6"	-0.00238095238095238	-0.00238095688012184	-0.00397181936933297	0.0516511430990686	100	6
-1	"100-11"	-0.117582417582418	-0.118128841050899	-0.0491425852679951	-0.0535259133389974	100	11
-1	"100-46"	-0.200549450549451	-0.203304963962049	-0.00904479684998015	0.00869565217391304	100	46
-1	"100-114"	0.196794871794872	0.199396094322827	0.0462358138630545	0.0833333333333333	100	114
-1	"100-7"	0.0442307692307692	0.0442596469186533	-0.0959672899798878	-0.0571923743500867	100	7
-1	"100-59"	-0.0937728937728938	-0.0940492125733512	-0.014404331642538	0.0161153519932146	100	59
-1	"100-9"	-0.0543040293040293	-0.0543575035011302	-0.034356419652583	-0.05	100	9
-1	"100-121"	0.0921703296703297	0.0924326752155153	-0.0450222751740214	-0.0120068610634648	100	121
-1	"100-77"	-0.0567307692307692	-0.0567917474191291	0.206888765034608	0.206081081081081	100	77
-1	"100-97"	0.190888278388278	0.193258877072148	0.0946447140023898	0.0833333333333333	100	97
-1	"100-25"	-0.0221611721611722	-0.0221648011441237	0.206888765034608	0.206081081081081	100	25
-1	"100-88"	-0.00485347985347985	-0.00485351796397376	0.0367015121752834	0.0646258503401361	100	88
-1	"100-43"	-0.0137362637362637	-0.0137371277761242	-0.0443412181285044	0.0076988879384089	100	43
-1	"100-44"	0.100915750915751	0.101260434490555	0.139531189010647	0.197994987468672	100	44
-1	"100-69"	-0.150228937728938	-0.151374651564337	0.164666577952214	0.141630901287554	100	69
-1	"100-8"	-0.0512820512820513	-0.0513270770300417	-0.0567242712510815	-0.0622406639004149	100	8
-1	"100-35"	-0.0956043956043956	-0.0958972846423842	-0.033535388074626	0.00599828620394173	100	35
-1	"100-42"	-0.24793956043956	-0.253216213072785	0.0857679139643726	0.0177815410668925	100	42
-1	"100-61"	0.0501373626373626	0.050179437132152	0.139531189010647	0.197994987468672	100	61
-1	"100-73"	-0.0573717948717949	-0.0574348663372932	-0.0494492946192757	-0.0300429184549356	100	73
-1	"100-36"	-0.0849358974358974	-0.0851410316281324	0.00992375443301904	-0.0300429184549356	100	36
-1	"100-81"	-0.0182234432234432	-0.0182254609235047	0.0152914563463148	-0.013745704467354	100	81
-1	"100-111"	-0.0118131868131868	-0.0118137363747207	0.0590583983164395	0.0802675585284281	100	111
-1	"100-63"	-0.0816849816849817	-0.0818673917928146	0.139531189010647	0.197994987468672	100	63
-1	"100-80"	-0.066529304029304	-0.0666277217171077	0.0590583983164395	0.0802675585284281	100	80
-1	"100-112"	0.143040293040293	0.144028007033913	0.139531189010647	0.197994987468672	100	112
-1	"100-19"	0.039514652014652	0.0395352374644178	0.198941013699697	0.148936170212766	100	19
-1	"100-108"	0.173351648351648	0.175120097105711	-0.00906600115998089	-0.00340136054421769	100	108
-1	"100-74"	-0.0350732600732601	-0.0350876522956018	-0.0847917760008374	-0.0893617021276596	100	74
-1	"100-125"	0.0514652014652015	0.0515107118718727	-0.00168417096982563	0.0709459459459459	100	125
-1	"100-122"	-0.247161172161172	-0.252387010208412	0.0246395743801878	0.0824129141886151	100	122
-1	"100-55"	0.15540293040293	0.156672373346011	0.263707400061966	0.35	100	55
-1	"100-56"	-0.0139194139194139	-0.0139203129864709	0.0707783535724307	-0.0227272727272727	100	56
-1	"100-107"	0.103937728937729	0.104314455392547	0.149617055745781	0.119390347163421	100	107
-1	"100-102"	0.03246336996337	0.0324747812412922	0.153200093503678	0.117647058823529	100	102
-1	"100-50"	-0.23731684981685	-0.24192890337067	-0.0587686742336488	-0.0553191489361702	100	50
-1	"14-117"	0.124542124542125	0.125192097827843	0.364669422450146	0.348148148148148	14	117
-1	"14-123"	-0.116163003663004	-0.116689770277101	0.0158324774990009	-0.0105263157894737	14	123
-1	"14-51"	-0.113186813186813	-0.113673917989367	0.446956687879873	0.366834170854271	14	51
-1	"14-103"	-4.57875457875458e-05	-4.57875458195436e-05	0.289891265225486	0.216666666666667	14	103
-1	"14-99"	-0.0502289377289377	-0.0502712434240351	0.491534700448227	0.381974248927039	14	99
-1	"14-6"	0.00888278388278388	0.00888301752245926	0.525428506455022	0.427597955706985	14	6
-1	"14-11"	-0.152884615384615	-0.154092764545667	0.145988533651662	0.0554561717352415	14	11
-1	"14-46"	0.156776556776557	0.15808030276688	0.187860363536017	0.124324324324324	14	46
-1	"14-114"	-0.0654761904761905	-0.0655700002462235	0.29597466057008	0.216666666666667	14	114
-1	"14-7"	0.0959249084249084	0.0962207640529298	0.231097079560712	0.185929648241206	14	7
-1	"14-59"	0.069459706959707	0.0695717377235848	0.393574543987826	0.329842931937173	14	59
-1	"14-9"	0.0438644688644689	0.0438926344733341	-0.0546691650792302	-0.0166666666666667	14	9
-1	"14-121"	-0.163553113553114	-0.165035304040767	0.334807793544342	0.228215767634855	14	121
