cond_numeric	Condition	participant_a	participant_b	z_transformed_rank_r	pp_a_n_clusters	pp_b_n_clusters	cat_diff_log_ratio_a	cat_diff_log_ratio_b	mean_alignment_within	mean_alignment_between
-1	Baseline	CEL_baseline_114	CEL_baseline_123	0.097378541	3	3	0.242876311	0.3651375	0.056751442	0.024703494
-1	Baseline	CEL_baseline_114	CEL_baseline_124	0.006969543	3	2	0.242876311	0.090431415	0.012257271	-0.046093221
-1	Baseline	CEL_baseline_114	CEL_baseline_125	-0.087509854	3	3	0.242876311	-0.018682389	-0.172112134	0.008064981
-1	Baseline	CEL_baseline_114	CEL_baseline_126	-0.003069638	3	4	0.242876311	0.006696422	0.023768726	-0.061005662
-1	Baseline	CEL_baseline_114	CEL_baseline_128	0.176336034	3	2	0.242876311	0.914291174	0.071505212	0.030552649
-1	Baseline	CEL_baseline_114	CEL_baseline_129	0.206202601	3	3	0.242876311	1.07280287	0.134569484	0.063228629
-1	Baseline	CEL_baseline_114	CEL_baseline_130	0.082316581	3	3	0.242876311	0.264998033	0.021792147	0.050676399
-1	Baseline	CEL_baseline_114	CEL_baseline_131	0.117299017	3	4	0.242876311	0.227739309	0.023620476	0.015458777
-1	Baseline	CEL_baseline_114	CEL_baseline_133	-0.063413342	3	2	0.242876311	-0.002317724	0.015978641	-0.153821072
-1	Baseline	CEL_baseline_114	CEL_baseline_134	0.141287948	3	4	0.242876311	0.152119223	0.013623924	0.266372287
-1	Baseline	CEL_baseline_114	CEL_baseline_135	0.040721116	3	4	0.242876311	0.376474817	0.002806938	-0.035850935
-1	Baseline	CEL_baseline_114	CEL_baseline_137	0.104401249	3	4	0.242876311	0.10045518	0.006214839	0.153010203
-1	Baseline	CEL_baseline_114	CEL_baseline_162	0.121542199	3	2	0.242876311	0.434024199	0.054571125	0.02578429
-1	Baseline	CEL_baseline_114	CEL_baseline_165	0.114585236	3	4	0.242876311	0.223624136	-0.000551513	0.169439909
-1	Baseline	CEL_baseline_114	CEL_baseline_166	-0.124197501	3	4	0.242876311	0.146715943	-0.185589502	-0.126722606
-1	Baseline	CEL_baseline_114	CEL_baseline_167	0.235248286	3	6	0.242876311	0.073317675	0.228213271	0.198798351
-1	Baseline	CEL_baseline_114	CEL_baseline_168	-0.060921087	3	2	0.242876311	0.06222896	-0.076280464	-0.062475397
-1	Baseline	CEL_baseline_114	CEL_baseline_169	0.026226011	3	2	0.242876311	0.015236417	0.010890664	0.034985764
-1	Baseline	CEL_baseline_114	CEL_baseline_170	0.053947946	3	3	0.242876311	0.01280229	0.090305184	0.002184222
-1	Baseline	CEL_baseline_114	CEL_baseline_171	0.175768325	3	4	0.242876311	0.410811993	0.30577441	-0.224457087
-1	Baseline	CEL_baseline_114	CEL_baseline_172	0.101131998	3	4	0.242876311	0.32347555	0.180364258	-0.147462286
