"n_clusters"	"cond_numeric"	"a_dist"	"b_dist"	"ab_dist"	"log_cat_ratio"	"cat_diff"	"purity"	"n_items"	"window_height"	"window_width"	"participant"
6	-1	333.3584481	266.6265964	405.4199945	0.301166005	105.4274723	1	2.5	929	1920	51
2	-1	200.4740878	165.1375373	248.7559846	0.308047979	65.95017205	0.9	8	625	1366	103
2	0	469.0606068	349.2828406	514.3836659	0.228834488	105.2119422	0.633333333	8	937	1920	71
2	0	223.8292543	261.2067885	511.2153244	0.745714857	268.697303	0.944444444	8	625	1366	34
2	-1	13.47375637	50.30466834	155.7400908	1.585920751	123.8508784	NA	NA	625	1366	99
3	1	235.6916277	433.0159214	583.6500121	0.557101871	249.2962376	1	6.5	694	1536	124
3	-1	135.095101	376.8226209	519.6723255	0.708181738	263.7134646	1	6.5	686	1280	6
3	1	135.5745578	183.3453033	373.6254475	0.851461147	214.165517	0.9	6	562	1244	116
3	-1	216.7743345	172.041513	256.5807896	0.277484933	62.17286585	NA	NA	625	1366	11
2	0	168.1424579	255.7925871	348.9245373	0.498422606	136.9570148	NA	NA	792	1536	27
8	-1	105.1570709	153.9581439	286.613857	0.794010237	157.0562496	1	2.5	667	1280	46
2	1	303.038641	514.8131277	644.2478098	0.454549522	235.3219255	NA	NA	975	1920	120
4	1	195.1425367	215.7594358	422.0521475	0.719921383	216.6011613	1	4	820	1440	83
6	1	253.2794302	329.6825344	371.2339343	0.241857652	79.752952	1	3	768	1366	18
2	0	138.6783347	173.3220006	224.376703	0.363469267	68.37653535	0.9	8	657	1366	62
2	1	224.0257884	369.3620512	517.4498731	0.556211623	220.7559533	NA	NA	969	1920	113
2	1	145.5304869	207.8335252	430.3491031	0.890245206	253.6670971	1	8	625	1360	85
2	0	201.2768936	256.3323033	363.0061096	0.461551308	134.2015112	NA	NA	626	1366	67
2	-1	161.9766711	352.6563726	380.1103194	0.390154595	122.7937976	NA	NA	651	1095	114
6	-1	225.7157114	364.4275417	345.82312	0.158709302	50.75149345	1	2	657	1366	7
3	-1	425.1683317	384.6071087	895.3504565	0.793605419	490.4627363	0.833333333	5	950	1920	59
6	1	183.0971865	206.1810638	380.5230947	0.670399667	185.8839696	NA	NA	859	1797	105
2	-1	337.1012223	341.6849161	343.5785568	0.012256849	4.1854876	0.5	8	727	1438	9
2	0	290.5892029	191.655205	323.0646249	0.292548505	81.94242095	0.718181818	8	757	1600	21
2	0	217.9240774	450.1229628	483.9725515	0.370816783	149.9490314	NA	NA	969	1920	17
5	0	251.9144163	305.3230847	384.1542607	0.321199831	105.5355102	0.833333333	3.5	697	1298	16
4	0	229.4187605	298.958124	303.0587292	0.137263968	38.87028695	0.75	5	604	1334	5
3	0	500.5753249	792.8712612	1077.835269	0.510791402	431.111976	NA	NA	1098	1920	94
2	1	269.6203416	588.5468272	599.2110584	0.333962152	170.127474	NA	NA	766	1440	26
2	0	120.2472143	199.0385406	262.5577696	0.497531828	102.9148922	NA	NA	657	1366	98
4	-1	234.0357695	375.6305003	563.7834448	0.614905686	258.9503099	1	4	969	1920	121
3	-1	247.2145458	247.287585	386.0444854	0.44554833	138.79342	0.6875	5	654	1366	77
6	0	184.5768482	178.0742256	348.7078635	0.653940542	167.3823266	1	2	625	1024	72
2	-1	327.7199285	204.1774822	355.1042846	0.289108053	89.15557925	0.766666667	8	649	1366	97
3	0	331.678282	522.4016196	577.1828262	0.301281502	150.1428754	1	4.5	1297	2560	119
3	-1	213.2364178	377.6214786	687.5820815	0.844752852	392.1531333	1	5	1232	1276	25
