"cond_numeric"	"Condition"	"pair"	"participant_a"	"participant_b"	"rank_r"	"z_transformed_rank_r"	"pp_a_n_clusters"	"pp_a_a_dist"	"pp_a_b_dist"	"pp_a_ab_dist"	"pp_b_n_clusters"	"pp_b_a_dist"	"pp_b_b_dist"	"pp_b_ab_dist"	"cat_diff_a"	"cat_diff_b"	"cat_diff_pairwise"	"cat_diff_log_ratio_a"	"cat_diff_log_ratio_b"	"window_height_a"	"window_width_a"	"window_height_b"	"window_width_b"
-1	"Baseline"	"A104V8NZIQFN2F, A2X81BPNQWSHR0"	"A104V8NZIQFN2F"	"A2X81BPNQWSHR0"	0.092978679	0.093248012	2	478.3916359	574.2690309	638.3032151	2	327.7199285	204.1774822	355.1042846	111.9728817	89.1555792500001	22.8173024499999	0.192884403334591	0.289108052617007	789	1600	649	1366
-1	"Baseline"	"A104V8NZIQFN2F, A2YDQBA23C2D94"	"A104V8NZIQFN2F"	"A2YDQBA23C2D94"	0.1724842	0.174225912	2	478.3916359	574.2690309	638.3032151	3	213.2364178	377.6214786	687.5820815	111.9728817	392.1531333	280.1802516	0.192884403334591	0.844752851776198	789	1600	1232	1276
-1	"Baseline"	"A104V8NZIQFN2F, A2ZBJWQ9ZZHYYI"	"A104V8NZIQFN2F"	"A2ZBJWQ9ZZHYYI"	0.026411556	0.0264177	2	478.3916359	574.2690309	638.3032151	3	288.2664556	206.2181588	368.4433763	111.9728817	121.2010691	9.22818740000002	0.192884403334591	0.398918183278764	789	1600	648	1280
-1	"Baseline"	"A104V8NZIQFN2F, A2ZRL1ZWWXJ0L7"	"A104V8NZIQFN2F"	"A2ZRL1ZWWXJ0L7"	-0.023744704	-0.023749169	2	478.3916359	574.2690309	638.3032151	4	166.0669048	245.1345727	328.9770599	111.9728817	123.37632115	11.40343945	0.192884403334591	0.470051894870051	789	1600	750	1536
-1	"Baseline"	"A104V8NZIQFN2F, A30X689MOKAFLZ"	"A104V8NZIQFN2F"	"A30X689MOKAFLZ"	0.236641433	0.241213299	2	478.3916359	574.2690309	638.3032151	2	269.868714	354.766963	762.0461482	111.9728817	449.7283097	337.755428	0.192884403334591	0.891985733380697	789	1600	1297	2560
-1	"Baseline"	"A104V8NZIQFN2F, A31U7VGTEOY2RG"	"A104V8NZIQFN2F"	"A31U7VGTEOY2RG"	0.107757483	0.108177495	2	478.3916359	574.2690309	638.3032151	4	226.9635389	526.1618352	570.0098173	111.9728817	193.44713025	81.47424855	0.192884403334591	0.414569051164368	789	1600	657	1366
-1	"Baseline"	"A104V8NZIQFN2F, A34XR21XZ4ZPMB"	"A104V8NZIQFN2F"	"A34XR21XZ4ZPMB"	-0.034828808	-0.034842901	2	478.3916359	574.2690309	638.3032151	2	351.5668258	238.0523168	332.1057197	111.9728817	37.2961484	74.6767333	0.192884403334591	0.119123724174367	789	1600	722	1536
-1	"Baseline"	"A104V8NZIQFN2F, A3DUPRZSMU9W5R"	"A104V8NZIQFN2F"	"A3DUPRZSMU9W5R"	-0.052468921	-0.05251715	2	478.3916359	574.2690309	638.3032151	4	322.0179647	395.5570959	462.8910581	111.9728817	104.1035278	7.86935389999996	0.192884403334591	0.254761355040702	789	1600	969	1920
-1	"Baseline"	"A104V8NZIQFN2F, A3E76V59BKGKCQ"	"A104V8NZIQFN2F"	"A3E76V59BKGKCQ"	0.054392666	0.054446403	2	478.3916359	574.2690309	638.3032151	3	275.0275468	264.5035803	435.0009516	111.9728817	165.23538805	53.26250635	0.192884403334591	0.477794919998431	789	1600	937	1920
-1	"Baseline"	"A104V8NZIQFN2F, A3GO56JAHRU2Y1"	"A104V8NZIQFN2F"	"A3GO56JAHRU2Y1"	0.1123203	0.112796247	2	478.3916359	574.2690309	638.3032151	2	175.2239299	329.7623441	600.1424873	111.9728817	347.6493503	235.6764686	0.192884403334591	0.865783037707839	789	1600	722	1536
