"","RT","label_cond","label","second_stim","first_stim","first_stim_cat","block","third_stim","isRight","subjCode"
"79",471.7549998,-0.5,"noise","circle_6","circle_6","C",3,"square_7",1,127
"80",340.2450001,-0.5,"noise","square_5","circle_3","C",3,"circle_3",1,127
"81",538.9549998,-0.5,"noise","square_2","square_2","S",3,"circle_5",1,127
"82",472.6850004,-0.5,"noise","circle_6","circle_6","C",3,"square_5",1,127
"83",432.79,-0.5,"noise","square_2","circle_6","C",3,"circle_6",1,127
"84",466.3400003,-0.5,"noise","square_7","square_7","S",3,"circle_2",1,127
"85",490.6250001,-0.5,"noise","square_5","square_5","S",3,"circle_4",1,127
"86",483.7549999,-0.5,"noise","circle_6","square_6","S",3,"square_6",1,127
"87",443.1150001,-0.5,"noise","circle_3","square_6","S",3,"square_6",1,127
"88",494.5550002,-0.5,"noise","square_7","circle_3","C",3,"circle_3",1,127
"89",400.4600001,-0.5,"noise","circle_5","circle_5","C",3,"square_6",1,127
"90",436.3499996,-0.5,"noise","square_3","square_3","S",3,"circle_7",1,127
"91",408.1049999,-0.5,"noise","circle_2","square_5","S",3,"square_5",1,127
"92",552.1,-0.5,"noise","circle_4","square_7","S",3,"square_7",1,127
"93",541.3899999,-0.5,"noise","circle_6","square_4","S",3,"square_4",1,127
"94",397.1700002,-0.5,"noise","circle_2","circle_2","C",3,"square_6",1,127
"95",499.4299999,-0.5,"noise","square_3","circle_4","C",3,"circle_4",1,127
"96",451.0000004,-0.5,"noise","square_4","square_4","S",3,"circle_5",1,127
"97",341.3800001,-0.5,"noise","circle_7","circle_7","C",3,"square_6",1,127
"98",380.8400002,-0.5,"noise","circle_3","square_2","S",3,"square_2",1,127
"99",367.5500001,-0.5,"noise","circle_3","circle_3","C",3,"square_4",1,127
"100",2827.69,-0.5,"noise","square_2","square_2","S",1,"circle_2",0,NA
"101",1109.81,-0.5,"noise","circle_6","square_2","S",1,"square_2",1,NA
"102",1511.715,-0.5,"noise","square_6","square_6","S",1,"circle_2",1,NA
"103",1033.855,-0.5,"noise","square_2","circle_5","C",1,"circle_5",1,NA
"104",672.915,-0.5,"noise","square_3","circle_5","C",1,"circle_5",1,NA
"105",1143.295,-0.5,"noise","circle_4","circle_4","C",1,"square_5",1,NA
"106",674.01,-0.5,"noise","circle_6","circle_6","C",1,"square_5",1,NA
"107",751.79,-0.5,"noise","square_4","square_4","S",1,"circle_5",1,NA
"108",583.355,-0.5,"noise","circle_2","square_7","S",1,"square_7",1,NA
"109",753.5399999,-0.5,"noise","circle_5","square_5","S",1,"square_5",1,NA
"110",961.7,-0.5,"noise","square_5","circle_7","C",1,"circle_7",1,NA
"111",662.015,-0.5,"noise","square_6","square_6","S",1,"circle_5",1,NA
"112",631.69,-0.5,"noise","circle_7","circle_7","C",1,"square_2",1,NA
"113",578.18,-0.5,"noise","square_2","circle_4","C",1,"circle_4",1,NA
"114",555.095,-0.5,"noise","square_6","square_6","S",1,"circle_6",1,NA
"115",493.675,-0.5,"noise","square_7","square_7","S",1,"circle_7",1,NA
"116",432.23,-0.5,"noise","square_3","circle_3","C",1,"circle_3",1,NA
"117",446.59,-0.5,"noise","circle_3","circle_3","C",1,"square_6",1,NA
"118",1021.275,-0.5,"noise","circle_3","square_2","S",1,"square_2",1,NA
"119",662.065,-0.5,"noise","circle_2","circle_2","C",1,"square_3",1,NA
"120",798.315,-0.5,"noise","circle_3","square_4","S",1,"square_4",1,NA
"121",1224.875,-0.5,"noise","circle_2","square_4","S",1,"square_4",1,NA
"122",752.76,-0.5,"noise","square_4","circle_6","C",1,"circle_6",1,NA
"123",745.955,-0.5,"noise","circle_4","circle_4","C",1,"square_7",1,NA
